0064,0083,00AA,00D9,010F,014C,018D,01CE,020E,0249,0280,02B2,02DE,0306,032B,034D,036C,0389,03A2,03B8,03CC,03DE,03F0,0404,041C,043A,0461,0493,04D5,052A,0598,0623,06CD,079A,0888,0999,0AC8,0C13,0D76,0EEC,106F,11FA,1386,150E,168D,17FC,1958,1A9D,1BC9,1CDC,1DD6,1EBB,1F8F,2059,2120,21EA,22C0,23A8,24A4,25B7,26DF,2817,2958,2A9A,2BD1,2CF1,2DEE,2EBF,2F57,2FAF,2FBE,2F81,2EF3,2E14,2CE6,2B6B,29AB,27AB,2575,2314,2092,1DFB,1B5D,18C3,163C,13D4,1199,0F98,0DDC,0C70,0B57,0A91,0A13,09CF,09B0,09A5,09A0,0996,0981,095B,0924,08F4,08B3,0860,07FF,0791,071A,069C,061A,0595,050F,048A,0407,0386,0307,028C,0217,01AA,014E,0110,00FF,011D,0157,019B,01E0,0222,025F,0297,02CA,02F9,0325,034C,036F,038A,039C,03A4,03A1,0394,037F,0362,0342,031F,02FA,02D3,02AB,027F,0252,0224,01F7,01CF,01AE,0197,0189,0183,0184,0188,018D,0192,0196,0197,0196,0193,0190,018C,0187,0184,0181,017E,017B,0177,0173,016E,0167,015E,0154,0149,013E,0133,012A,0124,0122,0127,0132,0145,015D,0179,0197,01B6,01D4,01F0,0207,0219,0226,022B,022A,0221,0211,01FC,01E1,01C5,01A8,018E,017B,0171,0174,0183,019D,01BF,01E6,020F,0239,0261,0287,02AB,02CB,02E8,0303,031B,0332,0347,035D,0374,038D,03A8,03C7,03E8,040B,0431,0457,047C,04A0,04C0,04DC,04F2,0502,050A,0509,0501,04EF,04D6,04B5,048E,0464,0437,040B,03E2,03BE,03A3,0391,0389,0389,0390,039A,03A6,03B0,03B6,03B7,03B1,03A2,038C,036D,0347,031A,02E7,02B1,0277,023E,0205,01D1,01A2,017C,0161,0152,014E,0155,0164,0178,0190,01A9,01C2,01DB,01F4,020B,0221,0235,0249,025A,026B,027A,0288,0294,029F,02A9,02B1,02B9,02C1,02C9,02D1,02DB,02E5,02EF,02F9,0304,030E,0318,0322,032C,0337,0344,0352,0360,0370,037F,038D,0399,03A1,03A4,03A2,039A,038B,0375,0358,0336,030F,02E4,02B7,028A,025D,0234,0210,01F3,01E1,01DC,01E3,01F7,0216,023E,026C,029F,02D5,030B,033F,0371,039E,03C5,03E6,0401,0415,0422,042A,042E,042F,042F,042E,042D,042E,0430,0432,0435,0438,043A,043A,043A,0438,0435,0431,042C,0425,041C,0412,0406,03F8,03E8,03D5,03C1,03AA,0393,037D,0367,0353,0343,0338,0332,0332,0339,0344,0354,0367,037B,038F,03A0,03AE,03B6,03BA,03B7,03AF,03A1,038D,0375,035A,033B,031B,02FC,02DE,02C5,02B2,02A9,02AD,02BE,02DD,0309,033E,0379,03B7,03F4,042C,045C,0482,049C,04AA,04AA,049E,0487,0467,0440,0416,03EA,03C1,039C,037D,0366,0357,0351,0353,035E,0370,0389,03A7,03C9,03ED,0410,042F,0448,0459,045F,0459,0446,0428,0400,03D1,03A0,0372,034E,033B,033B,0350,0377,03A9,03DF,0412,043D,045C,046A,0466,0450,0427,03ED,03A4,034E,02ED,0285,0217,01A6,0137,00D0,008C,00A2,00FB,0168,01DA,024C,02BD,032A,0391,03F2,044A,0498,04DB,0512,053C,0559,0569,056D,0565,0555,053D,0521,0501,04E0,04BF,049E,047F,0462,0444,0427,0408,03E7,03C3,039A,036D,033C,0308,02D2,029A,0263,022F,0201,01DB,01C1,01B3,01B4,01C1,01D8,01F6,0218,023A,025C,027B,0296,02AC,02BC,02C7,02CD,02CE,02CC,02CA,02C9,02CC,02D4,02E1,02F3,0308,031C,032D,0339,033F,033D,0334,0328,031B,0312,0312,031E,0336,035B,0388,03BB,03ED,041C,0444,0462,0474,047A,0474,0463,0449,0428,0403,03DB,03B5,0391,0370,0353,033B,0325,0311,02FE,02EA,02D7,02C3,02AE,029A,0285,0272,0260,0250,0242,0235,0227,0219,0209,01F6,01E0,01C8,01AF,0196,0181,0172,016D,0173,0185,019E,01BD,01DD,01FA,0213,0224,022D,022C,0222,0210,01F5,01D3,01AD,0182,0157,012C,0105,00E2,00C5,00AF,00A1,009A,0099,009C,00A3,00AC,00B3,00B8,00B8,00B2,00A6,0095,0083,0077,007C,0096,00BE,00ED,011C,0148,016D,0188,0197,0198,018C,0171,0149,0115,00D9,009A,0066,0064,0099,00E2,012F,017A,01C1,0202,023D,0272,029F,02C4,02E2,02F7,0302,0304,02FB,02E8,02C9,02A0,026B,022C,01E5,0196,0143,00F0,00A4,0078,008B,00C7,010C,014D,0187,01B5,01D7,01EC,01F4,01EF,01DE,01C2,019E,0173,0144,0113,00E2,00B5,008E,0070,005D
010B,013E,016E,0196,01B5,01C5,01C7,01B8,019A,016F,0139,00FC,00B9,0074,002F,001B,005E,00A2,00E6,0129,016D,01B3,01FE,0251,02B1,0321,03A2,0438,04E2,05A3,0679,0767,086C,0988,0ABD,0C09,0D6B,0EE3,106D,1207,13AB,1556,1703,18AB,1A4A,1BDA,1D57,1EBC,2008,2139,224F,234D,2436,250E,25DB,26A4,276E,283E,2918,29FD,2AEC,2BE3,2CDC,2DCE,2EB3,2F80,302B,30AC,30F9,310B,30DC,3069,2FAF,2EAE,2D67,2BDF,2A19,281D,25F3,23A3,2137,1EBA,1C37,19BA,174C,14FA,12CD,10CF,0F09,0D81,0C3C,0B39,0A75,09E7,0981,0938,0900,08CD,0898,085D,0818,07DE,0797,0743,06E4,067C,060C,0597,051F,04A5,042A,03B1,0338,02C1,024B,01D6,0164,00F4,0089,0025,003D,0092,00DC,011B,014D,0173,018C,019A,019E,0199,018B,0174,0154,012B,00FA,00C4,0091,0075,0087,00BC,00FC,013D,017B,01B5,01EA,021B,0246,026D,028E,02A9,02BE,02CC,02D4,02D6,02D2,02C9,02BB,02A9,0291,0275,0254,022D,0201,01D1,019C,0163,0127,00EA,00B2,0088,0082,00A3,00D7,0112,014B,0180,01AF,01D7,01F7,020F,0220,0227,0227,021E,020E,01F7,01DA,01B7,0191,0168,013E,0113,00EB,00C6,00A9,0097,0093,009B,00A9,00B9,00C7,00D2,00D9,00DB,00D9,00D6,00D3,00D6,00E1,00F5,0113,0139,0163,018F,01B9,01E1,0202,021C,022E,0236,0233,0228,0213,01F9,01DD,01C6,01BA,01C4,01E7,0223,0272,02D0,0335,039E,0406,046B,04CB,0523,0571,05B6,05F0,061D,063F,0655,065D,0659,0648,062B,0601,05CD,058D,0544,04F3,049A,043B,03D8,0371,0309,02A0,023A,01D7,0178,0120,00CF,0086,0047,0022,003C,0066,008E,00B2,00D2,00F0,010A,0120,0133,0141,0149,014B,0145,0137,0122,0106,00E6,00C6,00B0,00AF,00CB,00FE,0140,0189,01D7,0225,0272,02BC,0303,0345,0381,03B8,03E8,0412,0437,0455,046D,047F,048A,048E,048B,0480,0470,0459,043E,041F,03FD,03DA,03B7,0394,0372,0351,0332,0314,02F7,02DA,02BB,029A,0276,024F,0223,01F3,01BE,0184,0147,0107,00C6,0085,0048,0021,0042,0072,009E,00C1,00DB,00E9,00ED,00E5,00D2,00B6,0094,0072,005F,006D,0097,00CC,0104,0138,0168,018F,01AE,01C2,01CC,01CA,01BE,01A9,018C,016A,0145,0123,0104,00EC,00DC,00D4,00CF,00CB,00C5,00BB,00AA,0094,007B,0066,0066,0083,00B6,00F5,0138,017D,01C2,0203,023E,0274,02A1,02C5,02DF,02EF,02F4,02EF,02E0,02C8,02A8,0282,0258,022D,0204,01E1,01C9,01C2,01CC,01E9,0214,0249,0283,02BE,02F7,032C,0358,037C,0394,03A1,03A0,0392,0378,0352,0322,02EB,02B1,0277,0245,021E,0207,0202,020D,0222,023B,0253,0264,026B,0267,0258,023D,0219,01EE,01C1,0196,0173,015F,015B,0166,017A,0191,01A6,01B8,01C8,01D6,01E9,0204,022A,025E,029D,02E5,032F,0376,03B5,03E8,0409,0415,040B,03E9,03AF,035D,02F8,0282,0204,018F,0145,0156,01BD,024C,02E7,037F,040E,048D,04F9,054F,058E,05B5,05C3,05BA,0599,0564,051B,04C2,045A,03E6,0369,02E5,025C,01D2,0148,00C5,0066,0090,0104,017F,01F7,026A,02D5,0338,0390,03DE,0420,0455,047C,0495,04A0,049D,048F,0475,0454,042B,03FE,03CF,03A0,0374,034C,032B,0313,0303,02FD,0300,030B,031D,0335,0350,036C,0388,03A2,03B8,03C8,03D3,03D6,03D1,03C5,03B0,0394,0371,034A,031E,02F2,02C6,029D,0278,0259,023F,022C,021E,0213,0209,01FF,01F1,01DF,01C5,01A3,0176,013F,00FC,00AF,005E,004A,00A8,0124,01AB,0239,02CB,035C,03E8,046C,04E4,054B,059F,05DD,0604,0612,0607,05E4,05AA,055B,04FB,048E,0418,039E,0325,02AF,0243,01E2,018F,014D,011C,00FC,00ED,00EE,00FC,0117,013B,0168,019A,01CE,0202,0233,0260,0286,02A5,02BB,02C8,02CC,02C6,02B6,029C,0279,024C,0218,01DC,019B,0156,0110,00CE,0096,0078,007F,009E,00C3,00E3,00FA,0106,0106,00FA,00E2,00C1,0097,0068,0036,0007,002C,0055,0077,008F,009D,009D,0090,0077,0052,002E,0040,0080,00CE,0123,017A,01D2,0229,027C,02CB,0315,0359,0397,03CF,0400,042C,0451,0470,0489,049A,04A3,04A3,049B,0489,046D,0449,041D,03E9,03B0,0373,0335,02F6,02BA,0281,024E,0221,01FC,01DE,01C7,01B7,01AB,01A2,019B,0194,018C,0181,0174,0162,014C,0131,0112
0223,028D,02FA,0368,03D3,0438,0492,04DD,0515,0536,053D,052B,0500,04BE,0468,0402,0391,031A,02A6,023A,01E2,01A5,0186,017F,0186,0198,01BC,0207,028E,035C,0472,05CC,0765,0938,0B3D,0D6D,0FC1,1230,14B0,1738,19C0,1C3C,1EA5,20F3,231D,251E,26F0,2892,2A00,2B3C,2C48,2D28,2DE2,2E7D,2F01,2F75,2FE3,3050,30C1,3138,31B4,3234,32B1,3325,3385,33CA,33E9,33DA,3396,3316,3256,3154,3010,2E8C,2CCC,2AD6,28B3,266A,2408,2197,1F24,1CBA,1A66,1833,162C,1459,12C0,1164,1043,0F59,0E9C,0E03,0D81,0D0C,0C9C,0C2B,0BB3,0B33,0AA9,0A17,097E,08F8,086C,07DD,074F,06C4,0640,05C6,0559,04F9,04A6,0461,0427,03F6,03CC,03A6,0382,035E,0338,0311,02E7,02BD,0291,0266,023B,0210,01E7,01BD,0192,0167,013D,0115,00F4,00DE,00D5,00DA,00E6,00F4,00FF,0106,0108,0107,0103,00FD,00F8,00F3,00EE,00E9,00E2,00DA,00D0,00C5,00B9,00AB,009C,008C,007C,006B,005B,004F,004A,0050,0062,007B,009A,00BB,00DE,0102,0125,0146,0164,017E,0193,01A3,01AD,01B2,01B2,01AD,01A3,0196,0187,0176,0165,0154,0147,013D,0138,013A,0143,0151,0166,017F,019B,01BA,01DC,01FF,0224,0249,026E,0292,02B6,02D8,02F8,0314,032D,0342,0350,0359,035A,0354,0347,0333,0318,02F8,02D6,02B3,0293,0279,026A,0268,0275,028F,02B3,02E0,0311,0342,0373,039F,03C7,03E9,0404,041A,0429,0434,043B,043E,0440,0440,0441,0442,0444,0447,044A,044E,0450,0451,0450,044C,0445,0439,042A,0417,0400,03E5,03C6,03A4,037F,0357,032E,0304,02D9,02AF,0285,025D,0237,0214,01F4,01D7,01BD,01A5,018F,0179,0166,0153,0142,0134,0129,0122,0120,0123,012B,0138,014A,0160,0179,0193,01AF,01CA,01E4,01FD,0214,0229,023D,0250,0262,0274,0287,029B,02B1,02C9,02E2,02FC,0316,032F,0346,035B,036B,0376,037B,037A,0372,0363,034F,0335,0315,02F1,02CA,02A1,0278,024F,022B,020C,01F6,01EA,01E9,01F3,0206,0220,023E,025D,027C,0299,02B3,02C8,02D9,02E6,02EF,02F6,02FA,02FE,0304,030C,0317,0328,033D,0356,0373,0391,03B0,03CD,03E6,03FB,0409,0410,040F,0406,03F5,03DD,03BF,039B,0375,034D,0327,0303,02E3,02CA,02B8,02AC,02A7,02A6,02A9,02AC,02AD,02AC,02A7,029C,028A,0272,0252,022B,01FF,01CD,0197,015E,0125,00ED,00BB,0093,007C,007D,008F,00A7,00C0,00D6,00E8,00F6,0100,0107,010C,0111,0116,011C,0122,0129,012F,0134,0138,013A,013B,013B,013D,0143,014D,015D,0174,0191,01B2,01D7,01FC,0221,0245,0265,0282,029B,02AE,02BC,02C4,02C5,02BF,02B1,029A,027B,0254,0224,01ED,01AF,016B,0124,00DA,008F,0046,001B,0052,0090,00CA,00FD,0128,014A,0164,0176,0181,0184,0180,0177,016A,015A,014B,013E,0136,0138,0143,0158,0176,019B,01C5,01F1,021D,0247,026F,0293,02B1,02CA,02DD,02EB,02F5,02FC,0302,0309,0312,0320,0332,0348,0361,037B,0394,03A9,03B9,03C1,03C1,03B8,03A7,038E,036F,034D,032B,030B,02F2,02E4,02E2,02EF,030A,0332,0363,039C,03D9,0417,0455,048F,04C5,04F5,051E,053E,0554,0561,0564,055B,0548,0529,0500,04CC,048F,044A,03FE,03AB,0355,02FD,02A3,024B,01F5,01A3,0155,010D,00CB,0090,005C,0031,0018,0028,0041,0059,006D,007C,0088,008E,0090,008F,008E,0091,009E,00BB,00E6,011E,015F,01A6,01EF,0238,027C,02BA,02EE,0316,0331,033E,033C,032C,030E,02E5,02B1,0275,0235,01F3,01B4,017B,014C,0129,0114,010C,010F,011A,0129,013B,014E,0161,0174,0187,019A,01AE,01C4,01DA,01F2,020A,0222,0238,024B,0259,0263,0265,0261,0254,0240,0222,01FD,01D0,019D,0165,012D,00F8,00CE,00BA,00C4,00E5,0111,0140,016B,018F,01AA,01B9,01BB,01B0,0198,0172,0140,0101,00B7,0062,0006,0061,00CC,013C,01AE,0220,0292,0300,036A,03CE,042A,047B,04C0,04F6,051E,0534,0539,052C,050D,04DB,0498,0444,03E2,0373,02FB,027F,0205,019B,0155,0150,018C,01EC,025B,02CC,0338,039C,03F5,0442,0482,04B5,04D9,04F0,04F8,04F3,04E0,04C0,0492,0458,0412,03C2,0368,0306,029F,0238,01D6,0186,0159,015E,0191,01E1,023C,0296,02E9,0332,036C,0397,03B0,03B7,03AD,0392,0367,0330,02EF,02A5,0257,0206
01CD,0271,031F,03D5,048F,054A,0602,06B3,0758,07EE,0871,08DD,0932,096E,0994,09A4,09A1,098E,096E,0941,0907,08BF,0867,07F9,0772,06CC,0603,0515,0406,02EF,0230,029F,0427,0632,0887,0B11,0DC0,108A,1364,1642,191A,1BE1,1E8C,2114,236E,2596,2786,293B,2AB5,2BF6,2D02,2DDF,2E95,2F2E,2FB2,302B,30A1,3119,3198,321D,32A7,332F,33AF,341E,3470,349E,349C,3463,33ED,3336,323A,30FA,2F79,2DBA,2BC2,2999,2748,24D8,2254,1FC6,1D3B,1ABE,1859,1618,1405,1227,1086,0F25,0E06,0D25,0C7A,0BFB,0B9C,0B52,0B11,0AD2,0A8E,0A40,09E8,0983,0910,08A9,0833,07B0,0722,068A,05ED,054C,04AA,0409,036B,02D0,0237,01A2,0111,0086,0028,0092,010C,017F,01EA,024B,02A2,02F1,0339,037B,03B8,03F1,0428,045A,0487,04AE,04CD,04E3,04F1,04F5,04F3,04EB,04DF,04CF,04BC,04A7,048D,046F,044B,0422,03F3,03C0,0389,034F,0314,02D8,029C,0260,0226,01ED,01B6,0180,014D,011B,00EC,00BE,0092,006A,0048,0036,003E,0055,0071,008C,00A7,00C1,00D9,00F0,0106,0119,0128,0134,013C,013F,013C,0134,0126,0113,00FB,00DE,00BF,00A1,008A,0086,009A,00C3,00F9,0135,0176,01B9,01FC,0240,0283,02C5,0305,0342,037C,03B3,03E4,0411,0438,0458,0473,0487,0494,049A,049A,0493,0485,046F,0453,0431,0409,03DB,03A8,0372,0338,02FC,02BE,027F,023F,01FF,01BF,017F,0141,0105,00CA,0093,0062,0045,0051,0079,00A9,00DB,010C,013C,016A,0194,01BC,01E1,0202,021E,0237,024C,025C,0269,0273,0279,027D,027E,027E,027C,0279,0276,0272,026C,0266,025F,0257,024C,0240,0231,021F,020B,01F3,01D7,01B8,0195,016F,0147,011E,00F5,00CE,00AA,008C,0075,0067,0061,0061,0064,0066,0066,0065,0062,005D,0059,0055,0052,004E,0049,0043,0039,002F,002B,0037,0054,007C,00AA,00DD,0114,014C,0184,01B9,01EB,0217,023C,0259,026D,0276,0275,0268,0251,022F,0203,01CD,018F,014B,0103,00B8,006E,0035,0048,0087,00C6,0101,0134,0160,0182,019B,01AA,01B0,01AD,01A2,018F,0176,0159,013A,011E,0109,0101,0109,0122,0146,0171,019E,01CB,01F5,021A,0238,024F,025D,0262,025F,0254,0242,022B,020F,01F0,01D0,01B2,0195,017B,0165,0151,0140,0130,0120,010E,00FB,00E8,00D6,00C9,00C5,00CC,00DE,00F9,011B,013F,0163,0186,01A5,01C0,01D7,01E8,01F6,01FF,0206,020B,020F,0213,0218,021F,0229,0237,0249,0260,027B,029B,02BE,02E6,0311,033D,036B,0399,03C5,03EE,0413,0432,044A,045B,0463,0461,0455,043F,041F,03F6,03C3,038A,034B,0309,02C6,0286,024A,0217,01EF,01D4,01C6,01C4,01CA,01D5,01E1,01EC,01F4,01F7,01F6,01F1,01E8,01DB,01CD,01BD,01AD,019E,0191,0186,017F,017A,0179,017A,017D,0181,0185,0188,0189,0189,0187,0184,017F,0178,0171,016B,0165,0164,0167,0172,0186,01A2,01C6,01F0,0220,0252,0285,02B4,02DE,0300,0316,0320,031A,0306,02E1,02AE,026D,0223,01D2,0184,0144,0124,0130,0162,01A5,01EA,0228,025A,027C,028C,028C,027C,0261,023F,021E,0205,01FB,0204,0220,0248,0275,02A1,02C6,02E2,02F2,02F7,02F2,02E5,02D5,02C6,02BB,02B9,02C0,02D1,02EA,0306,0323,033E,0355,0367,0373,037A,037D,037C,0378,0371,0368,035C,034E,033C,0327,030D,02F0,02CF,02AB,0288,0265,0245,0228,020E,01F6,01E0,01CB,01B9,01AE,01B0,01C6,01F4,0238,028D,02EC,034F,03AF,0407,0451,048A,04AE,04BB,04B0,048D,0452,0403,03A3,0337,02C3,0250,01E7,0193,0164,015D,0176,019E,01C6,01E8,0203,0218,022C,0243,0261,0289,02BB,02F5,0330,0368,0397,03BA,03CD,03CE,03BE,039F,0373,0340,030E,02E5,02CB,02C5,02D3,02F0,0317,033F,0363,037E,038E,0391,0385,036D,0348,031A,02E4,02A8,026A,022B,01ED,01B3,017E,0150,0128,0107,00EC,00D5,00C1,00AF,00A1,009F,00B3,00E1,0125,017B,01DE,024A,02BB,032E,039F,040A,046A,04BD,04FD,0529,053E,053B,0520,04EB,04A0,0440,03CE,034E,02C4,0234,01A2,0113,008F,0052,00A7,0114,017A,01D5,0222,0262,0294,02B7,02CA,02CD,02BF,02A2,0277,023F,01FE,01B9,0176,0141,0128,0133,015B,0192,01CC,0201,022C,0249,0258,0259,024B,0231,020C,01DE,01AA,0171,0137,00FE,00C7,0095
0332,03FC,04D2,05B1,0694,0776,0852,0924,09EA,0A9E,0B3E,0BC8,0C3A,0C93,0CD6,0D03,0D1E,0D29,0D28,0D1E,0D0B,0CF1,0CCF,0CA5,0C71,0C33,0BEC,0B9F,0B53,0B11,0AE6,0AE3,0B19,0B94,0C5B,0D6C,0EBE,1045,11F2,13B9,158B,175D,1925,1ADA,1C75,1DF0,1F48,207C,218B,2278,2348,23FE,24A2,253B,25CE,2662,26FC,279D,2847,28F7,29AA,2A5C,2B03,2B9A,2C17,2C74,2CA8,2CAE,2C80,2C1A,2B7B,2AA2,2990,2848,26CC,2523,2350,215C,1F4D,1D2B,1AFE,18CE,16A5,148B,1286,10A0,0EDE,0D46,0BDD,0AA3,099A,08BE,080A,0776,06FB,068F,062B,05CA,0566,04FD,048F,0426,03B5,033F,02C5,024A,01D2,0160,00FD,00B9,00B3,00E7,0133,0186,01D9,0229,0274,02BA,02FA,0334,0369,0397,03C1,03E6,0409,042A,0449,0468,0487,04A4,04BF,04D7,04EA,04F8,04FF,0500,04FC,04F3,04E8,04DA,04CC,04BE,04B0,04A1,0492,0482,0471,045F,044E,043C,042C,041C,040E,0400,03F2,03E3,03D4,03C1,03AC,0392,0374,0350,0327,02F7,02C2,0287,0248,0205,01BE,0177,012E,00E8,00A6,0071,005D,0074,00A2,00D3,0103,012F,0156,0179,0198,01B2,01C9,01DC,01EC,01F9,0204,020C,0212,0217,021A,021C,021E,0220,0222,0227,022E,023B,024C,0265,0284,02AA,02D5,0304,0333,0361,038C,03B2,03D0,03E6,03F3,03F7,03F1,03E1,03C8,03A6,037C,034B,0314,02D8,0298,0255,0212,01CE,018B,014A,010E,00D7,00AB,0092,0092,00A8,00CA,00F0,0115,0136,0151,0166,0173,0178,0176,016C,015C,0146,012C,0110,00F4,00DA,00C4,00B3,00A8,00A2,009F,00A0,00A3,00AA,00B4,00C2,00D6,00EE,010A,0128,0148,0167,0185,01A1,01B9,01CE,01E0,01ED,01F6,01FB,01FD,01FC,01F9,01F4,01F0,01EC,01EB,01EC,01F0,01F7,0201,020F,021F,0231,0244,0259,026F,0285,029C,02B2,02C8,02DE,02F3,0306,0319,032B,033C,034B,0359,0365,036E,0374,0375,0372,0369,0359,0343,0325,02FF,02D2,029D,0260,021D,01D4,0188,013E,0100,00DF,00EC,0121,016D,01C1,0215,0267,02B2,02F6,0332,0365,038E,03B0,03CA,03DE,03EE,03FA,0404,040D,0415,041D,0423,0428,042B,042C,0428,0421,0416,0406,03F2,03DA,03BE,039E,037C,0356,032F,0306,02DC,02B1,0286,025C,0232,020A,01E4,01C1,01A0,0181,0164,014A,0131,011A,0107,00FA,00F7,0102,011A,013D,0168,0194,01BF,01E4,0201,0212,0216,020C,01F2,01C8,0190,014D,0104,00BF,009B,00B5,00FC,0151,01A6,01F4,0237,026E,0297,02B1,02BD,02BC,02B1,029D,0285,026A,0251,023D,0231,022E,0236,0249,0267,028D,02B9,02E9,031C,034D,037A,03A2,03C1,03D6,03E0,03DD,03CD,03B0,0386,0351,0312,02CC,0280,0230,01DE,018C,013A,00E9,009C,0053,001B,0040,007D,00B7,00EE,0120,014E,0176,0197,01AF,01BF,01C5,01BF,01AF,0194,0170,0143,0111,00DE,00B4,00A1,00AE,00D4,0104,0135,0162,0187,01A4,01B6,01BE,01BE,01B5,01A6,0194,017F,0169,0155,0142,0132,0125,011C,0116,0113,0114,0118,0122,0131,0147,0165,0189,01B5,01E6,021B,0251,0286,02B7,02E0,0300,0314,031B,0315,0302,02E7,02C4,02A1,0283,0271,026F,027F,029F,02CA,02F8,0325,034A,0366,0375,0376,036B,0353,0331,0307,02D7,02A5,0271,0240,0211,01E7,01C2,01A3,018A,0179,0170,0171,017B,018D,01A6,01C2,01DD,01F4,0204,020B,0207,01F7,01DB,01B4,0184,014F,011B,00F3,00E8,0102,0138,017E,01C9,0215,025E,02A2,02E0,0317,0347,0370,0393,03B0,03C6,03D6,03DF,03E2,03DD,03D1,03BD,03A2,0381,035B,0331,0306,02DC,02B5,0292,0276,0261,0250,0244,0238,022B,021A,0204,01E8,01C7,01A1,0179,0153,0131,0116,0104,00F8,00EF,00E2,00CD,00AE,0083,004F,002F,0065,00B9,0116,0175,01D0,0223,0269,029E,02BF,02CA,02BB,0293,0251,01F5,0183,00FD,006F,005E,00FF,01AE,025F,030A,03AC,0440,04C4,0534,0590,05D6,0605,061F,0625,0617,05F9,05CD,0595,0554,050E,04C5,047B,0433,03EF,03B1,037B,034E,032B,0312,0304,02FF,0301,0309,0314,0321,032C,0336,033C,033D,033A,0331,0323,0311,02FB,02E3,02CA,02B2,029D,028B,027E,0273,026A,0261,0255,0245,022D,020D,01E4,01B1,0175,0132,00EC,00A9,007C,0086,00BC,0101,0147,0187,01BF,01EC,020E,0223,022C,0228,021A,0201,01DF,01B7,018A,0159
